PDC Year,Algorithm,TP,FP,TN,FN,Fscore (PDC),Fscore,balancedAccuracy,mcc,Fitness,Simplicity,Subprocesses,Events,Runtime
PDC19,DisCoveR,44.7,2.5,42.2,0.6,0.9640454820658336,0.9672027089529737,0.9653075396825397,0.9330207260179757,1.0,397.5,0.0,40.0,0.06603376865386959
PDC19,Sp-DisCoveR,44.8,2.6,42.1,0.5,0.9638214591636464,0.967403679639953,0.9653075396825397,0.9333341297727467,1.0,283.0,3.3,43.3,0.8898166418075562
PDC19,Sp-DisCoveR_no_i2e_e2i,45.0,2.7,42.0,0.3,0.9645832823768427,0.9687418486060253,0.9664186507936507,0.9360502840465396,1.0,182.1,3.3,43.3,0.8157281637191772
PDC20,DisCoveR,522.9427083333334,281.7395833333333,195.16666666666666,0.15104166666666666,0.5214487796471113,0.7967941942750333,0.7045533489953021,0.5006373168788333,1.0,61.046875,0.0,24.083333333333332,0.19521772240598992
PDC20,Sp-DisCoveR,522.9427083333334,280.3697916666667,196.53645833333334,0.15104166666666666,0.5242664801962241,0.7976910605076251,0.7059901465577458,0.5032470777178027,1.0,60.3125,0.3541666666666667,24.4375,1.2138141145308812
PDC20,Sp-DisCoveR_no_i2e_e2i,522.953125,281.3385416666667,195.56770833333334,0.140625,0.5228097820824251,0.7969522700126194,0.7049803529690902,0.5015246265973338,1.0,59.03125,0.3541666666666667,24.4375,1.192545151958863
PDC21,DisCoveR,125.0,5.25,119.75,0.0,0.9776068772987226,0.9801917628829114,0.979,0.9602116247066931,1.0,345.5625,0.0,47.25,0.15279430896043775
PDC21,Sp-DisCoveR,125.0,5.40625,119.59375,0.0,0.9769516820225759,0.9795931939747103,0.9783749999999999,0.9590112241307202,1.0,356.4479166666667,1.9166666666666667,49.166666666666664,1.5689771970113118
PDC21,Sp-DisCoveR_no_i2e_e2i,125.0,5.520833333333333,119.47916666666667,0.0,0.9764733420334745,0.9791532575116895,0.9779166666666667,0.9581298702245635,1.0,273.5520833333333,1.9166666666666667,49.166666666666664,1.5113824531435966
PDC22,DisCoveR,289.8229166666667,94.55208333333333,405.4479166666667,210.17708333333334,0.6163677688730195,0.6381275538616785,0.6952708333333333,0.43536285963016025,1.0,63.625,0.0,13.25,0.03627831737200415
PDC22,Sp-DisCoveR,278.53125,108.75,391.25,221.46875,0.5864206291232531,0.6073153070422661,0.6697812500000001,0.3850520809829136,1.0,43.072916666666664,1.2708333333333333,14.520833333333334,0.39321617037057877
PDC22,Sp-DisCoveR_no_i2e_e2i,287.3958333333333,125.22916666666667,374.7708333333333,212.60416666666666,0.5751747120097287,0.6103572616854486,0.6621666666666667,0.3680033939789369,1.0,34.3125,1.2708333333333333,14.520833333333334,0.3763096109032631
